Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,100nF,C14663
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C3, C6, C7, C8, C9",0402,14,100nF,C1525
"C19, C20, C23, C24",0805,4,2.2nF,C28260
"C21, C22, C25, C26",0402,4,100pF,C1546
"C27, C28",0402,2,47pF,C1567
"C4, C5",0805,2,22uF,C45783
"D1, D2",D_SOD-323,2,1N5819WS,C64886
"D3, D4, D5, D6",D_SOD-323,4,1N4148WS,C2128
J1,BoxHeader_2x05_2.54mm_Europower,1,POWER,
J10,AudioJack_PJ301M-12,1,Offset_CV_2,
J11,AudioJack_PJ301M-12,1,Audio_IN_2,
J12,AudioJack_PJ301M-12,1,TIMBRE_OUT_1,
J13,AudioJack_PJ301M-12,1,TIMBRE_OUT_2,
"J2, J3",PinSocket_1x07_P2.54mm_Vertical,2,Conn_01x07_Socket,
"J4, J5",PinHeader_1x07_P2.54mm_Vertical,2,Conn_01x07_Pin,
J6,AudioJack_PJ301M-12,1,Timbre_CV_1,
J7,AudioJack_PJ301M-12,1,Offset_CV_1,
J8,AudioJack_PJ301M-12,1,Audio_IN_1,
J9,AudioJack_PJ301M-12,1,Timbre_CV_2,
"R1, R48, R72",0402,3,1K,C11702
"R10, R21",0402,2,20K,C25765
"R11, R19, R22, R8",0402,4,120R,C25079
"R12, R23",0603,2,2K,C22975
"R13, R24",0603,2,15K,C22809
"R14, R16, R3, R5",0603,4,24K,C23352
"R15, R17, R4, R6",0603,4,120K,C25808
"R18, R7",0603,2,49.9K,C23184
R2,0402,1,510K,C11616
"R20, R9",0402,2,10M,C26082
"R25, R49",0402,2,10K,C25744
"R26, R43, R45, R50, R67, R69",0402,6,51K,C25794
"R27, R51",0603,2,91K,C23265
"R28, R52",0603,2,30K,C22984
"R29, R53",0402,2,68K,C36871
"R30, R31, R32, R33, R34, R44, R54, R55, R56, R57, R58, R68",0402,12,150K,C25755
"R35, R59",0402,2,100K,C25741
"R36, R60",0402,2,47K,C25792
"R37, R61",0402,2,470K,C25790
"R38, R62",0402,2,18K,C25762
"R39, R63",0402,2,75K,C25798
"R40, R64",0603,2,1.5M,C4172
"R41, R65",0402,2,33K,C25779
"R42, R66",0603,2,240K,C4197
"R46, R70",0603,2,22K,C31850
"R47, R71",0603,2,470K,C23178
"RV1, RV2, RV3, RV4, RV5, RV6",Potentiometer_RV09,6,B10K,
U1,SOT-23,1,CJ431,C3113
"U2, U3, U4, U5, U6",SOIC-14_3.9x8.7mm_P1.27mm,5,TL074,C6963
U7,SOIC-16_3.9x9.9mm_P1.27mm,1,SSI2164,
